聚类编号,用户数量,占比,外观设计_均值,内饰质感_均值,智能配置_均值,空间实用_均值,舒适体验_均值,操控性能_均值,续航能耗_均值,价值认知_均值,主要特征
0,448,3.3%,0.30922619047619043,0.11934523809523809,0.6898809523809524,0.05044642857142856,0.7236607142857144,0.8592261904761906,0.8125,0.056547619047619034,操控性能 + 续航能耗 + 舒适体验
1,566,4.1%,0.15571260306242637,0.06607773851590105,0.11884570082449938,0.10106007067137807,0.07926972909305062,0.2548881036513545,0.0818610129564193,0.7958775029446407,价值认知
2,381,2.8%,0.8118985126859144,0.7629046369203849,0.8405949256342957,0.7118110236220471,0.8271216097987751,0.8169728783902012,0.8465441819772528,0.2495188101487314,续航能耗 + 智能配置 + 舒适体验
3,690,5.0%,0.13999999999999996,0.057584541062801926,0.7385507246376811,0.10231884057971012,0.08657004830917873,0.12077294685990335,0.19806763285024154,0.10154589371980675,智能配置
4,565,4.1%,0.1859587020648967,0.07964601769911503,0.1781710914454277,0.09380530973451326,0.11563421828908552,0.8733923303834806,0.7877286135693214,0.09014749262536871,操控性能 + 续航能耗
5,349,2.6%,0.13829990448901622,0.06685768863419292,0.7837631327602673,0.7946513849092643,0.16275071633237823,0.04317096466093599,0.7862464183381088,0.43973256924546317,空间实用 + 续航能耗 + 智能配置
6,476,3.5%,0.25868347338935566,0.15560224089635852,0.7572829131652662,0.13039215686274508,0.08795518207282912,0.8355742296918768,0.11848739495798317,0.09369747899159662,操控性能 + 智能配置
7,507,3.7%,0.663905325443787,0.5750164365548981,0.7447731755424064,0.6916502301117686,0.10019723865877711,0.08507560815253122,0.6779750164365548,0.06706114398422089,智能配置 + 空间实用 + 续航能耗
8,377,2.8%,0.694076038903625,0.5179487179487179,0.04916003536693191,0.6548187444739169,0.4376657824933687,0.7644562334217506,0.7766578249336868,0.08806366047745355,续航能耗 + 操控性能 + 外观设计
9,305,2.2%,0.8161748633879781,0.6990163934426229,0.702950819672131,0.7571584699453552,0.06163934426229507,0.7309289617486339,0.8019672131147539,0.8563934426229506,价值认知 + 外观设计 + 续航能耗
10,414,3.0%,0.4069243156199677,0.1974235104669887,0.7342995169082126,0.17020933977455718,0.6990338164251207,0.07922705314009659,0.7238325281803542,0.13075684380032204,智能配置 + 续航能耗 + 舒适体验
11,386,2.8%,0.44974093264248705,0.32487046632124345,0.7721934369602763,0.24611398963730566,0.19360967184801378,0.31053540587219347,0.11416234887737475,0.7768566493955095,价值认知 + 智能配置 + 外观设计
12,552,4.0%,0.6439613526570047,0.4473429951690821,0.24130434782608692,0.10724637681159419,0.11256038647342993,0.13188405797101446,0.17318840579710143,0.10966183574879224,外观设计 + 内饰质感
13,343,2.5%,0.16637512147716227,0.11253644314868803,0.23090379008746353,0.8075801749271136,0.15724003887269192,0.8435374149659863,0.6310981535471332,0.770651117589893,操控性能 + 空间实用 + 价值认知
14,462,3.4%,0.35930735930735924,0.14098124098124096,0.10692640692640691,0.27647907647907644,0.14776334776334776,0.06724386724386723,0.8304473304473304,0.779076479076479,续航能耗 + 价值认知 + 外观设计
15,417,3.0%,0.6303756994404476,0.5211830535571542,0.15699440447641883,0.3443645083932853,0.07833733013589127,0.846043165467626,0.09240607513988809,0.13461231015187847,操控性能 + 外观设计 + 内饰质感
16,403,2.9%,0.125889164598842,0.07874276261373035,0.4810587262200165,0.7816377171215881,0.7356492969396193,0.7798180314309346,0.8185277088502894,0.044830438378825464,续航能耗 + 空间实用 + 操控性能
17,461,3.4%,0.25741142443962395,0.18033261026753433,0.1437454808387563,0.7483731019522777,0.0821402747650036,0.11106290672451191,0.3783080260303687,0.11814895155459144,空间实用 + 续航能耗
18,487,3.6%,0.2260095824777549,0.13661875427789186,0.7311430527036276,0.734154688569473,0.06228610540725529,0.8190280629705681,0.7498973305954825,0.054757015742642016,操控性能 + 续航能耗 + 空间实用
19,343,2.5%,0.13858114674441202,0.12594752186588917,0.5059280855199222,0.7725947521865889,0.552964042759961,0.5830903790087464,0.08163265306122447,0.08318756073858113,空间实用 + 操控性能 + 舒适体验
20,746,5.5%,0.18123324396782836,0.0522788203753351,0.14387846291331544,0.08346738159070596,0.08212689901697942,0.11939231456657727,0.7909740840035745,0.1039320822162645,续航能耗
21,331,2.4%,0.761127895266868,0.7266868076535751,0.6338368580060422,0.5947633434038267,0.7411883182275931,0.7409869083585096,0.062235649546827775,0.1871097683786505,外观设计 + 舒适体验 + 操控性能
22,586,4.3%,0.15665529010238904,0.08782707622298064,0.12229806598407279,0.1234357224118316,0.6291240045506257,0.12514220705346982,0.25642775881683727,0.1277588168373151,舒适体验
23,349,2.6%,0.27831900668576887,0.1711556829035339,0.7982808022922637,0.6328557784145176,0.8194842406876791,0.6926456542502388,0.8015281757402102,0.8473734479465139,价值认知 + 舒适体验 + 续航能耗
24,439,3.2%,0.23583902809415333,0.08701594533029612,0.6274867122247533,0.0539104024297646,0.06909643128321943,0.771450265755505,0.8022779043280184,0.8021260440394836,续航能耗 + 价值认知 + 操控性能
25,470,3.4%,0.815744680851064,0.7397163120567375,0.837163120567376,0.8487943262411349,0.03347517730496453,0.9106382978723404,0.7272340425531914,0.04099290780141843,操控性能 + 空间实用 + 智能配置
26,473,3.5%,0.765045806906272,0.5254404510218463,0.6768146582100071,0.05102184637068357,0.0580690627202255,0.845525017618041,0.7402396053558844,0.05595489781536292,操控性能 + 外观设计 + 续航能耗
27,346,2.5%,0.27437379576107895,0.16204238921001926,0.15915221579961464,0.09672447013487474,0.7023121387283237,0.7753371868978804,0.47148362235067437,0.7780346820809249,价值认知 + 操控性能 + 舒适体验
28,590,4.3%,0.0751412429378531,0.05265536723163841,0.11310734463276834,0.11039548022598869,0.08576271186440676,0.6196610169491524,0.13672316384180788,0.11502824858757059,操控性能
29,420,3.1%,0.28158730158730155,0.15047619047619046,0.3788888888888889,0.06015873015873014,0.7331746031746031,0.8206349206349207,0.10079365079365078,0.05587301587301586,操控性能 + 舒适体验 + 智能配置
